1731606016332649177,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606016, nanosec=311635584), frame_id='camera'), detections=[])"
1731606016368436936,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606016, nanosec=343320547), frame_id='camera'), detections=[])"
1731606016402286899,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606016, nanosec=376694658), frame_id='camera'), detections=[])"
1731606016434457195,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606016, nanosec=412244714), frame_id='camera'), detections=[])"
1731606016470745843,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606016, nanosec=446265510), frame_id='camera'), detections=[])"
1731606016505611343,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606016, nanosec=480883695), frame_id='camera'), detections=[])"
1731606016532221769,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606016, nanosec=511400269), frame_id='camera'), detections=[])"
1731606016567925195,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606016, nanosec=543220695), frame_id='camera'), detections=[])"
1731606016601297917,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606016, nanosec=579094288), frame_id='camera'), detections=[])"
1731606016631946473,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606016, nanosec=610498621), frame_id='camera'), detections=[])"
1731606016670075751,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606016, nanosec=646425343), frame_id='camera'), detections=[])"
1731606016700665788,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606016, nanosec=677559954), frame_id='camera'), detections=[])"
1731606016732232102,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606016, nanosec=710096436), frame_id='camera'), detections=[])"
1731606016766063028,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606016, nanosec=743387788), frame_id='camera'), detections=[])"
1731606016800028528,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606016, nanosec=776734213), frame_id='camera'), detections=[])"
1731606016836279176,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606016, nanosec=814759121), frame_id='camera'), detections=[])"
1731606016869718658,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606016, nanosec=846132658), frame_id='camera'), detections=[])"
1731606016899501139,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606016, nanosec=878742436), frame_id='camera'), detections=[])"
1731606016934716454,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606016, nanosec=911612584), frame_id='camera'), detections=[apriltag_msgs.msg.AprilTagDetection(family='tag36h11', id=13, hamming=0, goodness=0.0, decision_margin=84.74849700927734, centre=apriltag_msgs.msg.Point(x=33.1193483070254, y=249.05162253814837), corners=[apriltag_msgs.msg.Point(x=3.5709457397461044, y=277.6363525390625), apriltag_msgs.msg.Point(x=55.11380386352539, y=277.1339416503906), apriltag_msgs.msg.Point(x=62.51745223999023, y=220.6122894287109), apriltag_msgs.msg.Point(x=12.193502426147457, y=222.33369445800784)], homography=array([ 2.50898827e+01, -4.46762492e+00,  3.31193483e+01, -3.34723022e+00,
        2.45295975e+01,  2.49051623e+02, -1.11738940e-02, -1.37236403e-02,
        1.00000000e+00]))])"
1731606016965566343,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606016, nanosec=943641195), frame_id='camera'), detections=[apriltag_msgs.msg.AprilTagDetection(family='tag36h11', id=13, hamming=0, goodness=0.0, decision_margin=86.2361831665039, centre=apriltag_msgs.msg.Point(x=43.54023054117398, y=249.23456110648235), corners=[apriltag_msgs.msg.Point(x=14.29481220245362, y=277.6260681152344), apriltag_msgs.msg.Point(x=65.3521957397461, y=277.1636047363281), apriltag_msgs.msg.Point(x=72.64759063720703, y=220.9770812988281), apriltag_msgs.msg.Point(x=22.89461517333985, y=222.79896545410153)], homography=array([ 2.46479587e+01, -4.63128005e+00,  4.35402305e+01, -3.70978357e+00,
        2.40248812e+01,  2.49234561e+02, -1.25525101e-02, -1.49184342e-02,
        1.00000000e+00]))])"
1731606017002454584,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606016, nanosec=978855898), frame_id='camera'), detections=[apriltag_msgs.msg.AprilTagDetection(family='tag36h11', id=13, hamming=0, goodness=0.0, decision_margin=86.98440551757812, centre=apriltag_msgs.msg.Point(x=53.61220516591991, y=249.56574308335712), corners=[apriltag_msgs.msg.Point(x=24.932142257690433, y=277.83895874023443), apriltag_msgs.msg.Point(x=75.2159423828125, y=277.2768249511719), apriltag_msgs.msg.Point(x=82.2834930419922, y=221.30117797851562), apriltag_msgs.msg.Point(x=33.05650329589845, y=223.19897460937503)], homography=array([ 2.42089164e+01, -4.47496128e+00,  5.36122052e+01, -3.70620362e+00,
        2.45245013e+01,  2.49565743e+02, -1.23529247e-02, -1.25059295e-02,
        1.00000000e+00]))])"
1731606017038546898,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606017, nanosec=13518010), frame_id='camera'), detections=[apriltag_msgs.msg.AprilTagDetection(family='tag36h11', id=13, hamming=0, goodness=0.0, decision_margin=89.3944320678711, centre=apriltag_msgs.msg.Point(x=64.3778096050303, y=250.61727547998504), corners=[apriltag_msgs.msg.Point(x=36.03622436523439, y=278.69976806640625), apriltag_msgs.msg.Point(x=85.63746643066406, y=278.1231994628906), apriltag_msgs.msg.Point(x=92.82740020751952, y=222.4277648925781), apriltag_msgs.msg.Point(x=44.14963531494141, y=224.44589233398435)], homography=array([ 2.37017824e+01, -4.57126920e+00,  6.43778096e+01, -4.01068965e+00,
        2.46018337e+01,  2.50617275e+02, -1.33820447e-02, -1.14802464e-02,
        1.00000000e+00]))])"
1731606017066033250,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606017, nanosec=44939102), frame_id='camera'), detections=[apriltag_msgs.msg.AprilTagDetection(family='tag36h11', id=13, hamming=0, goodness=0.0, decision_margin=90.86654663085938, centre=apriltag_msgs.msg.Point(x=74.91021175033853, y=250.86689224717244), corners=[apriltag_msgs.msg.Point(x=46.943649291992195, y=278.70736694335943), apriltag_msgs.msg.Point(x=96.0099868774414, y=278.0887451171875), apriltag_msgs.msg.Point(x=103.0152816772461, y=222.88853454589844), apriltag_msgs.msg.Point(x=54.76961517333985, y=224.88252258300784)], homography=array([ 2.33586772e+01, -4.49192561e+00,  7.49102118e+01, -3.88746838e+00,
        2.46414659e+01,  2.50866892e+02, -1.28642150e-02, -1.03940271e-02,
        1.00000000e+00]))])"
1731606017104424787,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606017, nanosec=80193010), frame_id='camera'), detections=[apriltag_msgs.msg.AprilTagDetection(family='tag36h11', id=13, hamming=0, goodness=0.0, decision_margin=92.39688873291016, centre=apriltag_msgs.msg.Point(x=84.78263633561556, y=250.27536868559005), corners=[apriltag_msgs.msg.Point(x=57.08042907714844, y=278.17715454101557), apriltag_msgs.msg.Point(x=105.81967926025389, y=277.4608154296875), apriltag_msgs.msg.Point(x=112.49190521240234, y=222.36647033691406), apriltag_msgs.msg.Point(x=64.91914367675784, y=224.60646057128906)], homography=array([ 2.28478573e+01, -4.84707565e+00,  8.47826363e+01, -4.35645669e+00,
        2.35807800e+01,  2.50275369e+02, -1.44101122e-02, -1.42826726e-02,
        1.00000000e+00]))])"
1731606017134219898,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606017, nanosec=111946528), frame_id='camera'), detections=[apriltag_msgs.msg.AprilTagDetection(family='tag36h11', id=13, hamming=0, goodness=0.0, decision_margin=94.40497589111328, centre=apriltag_msgs.msg.Point(x=95.02672904702173, y=250.6527118805067), corners=[apriltag_msgs.msg.Point(x=67.62377166748047, y=278.4096374511719), apriltag_msgs.msg.Point(x=115.8883743286133, y=277.6170654296875), apriltag_msgs.msg.Point(x=122.44702911376952, y=222.8782196044922), apriltag_msgs.msg.Point(x=75.18418884277341, y=225.0055847167969)], homography=array([ 2.26708647e+01, -4.71070068e+00,  9.50267290e+01, -3.91565189e+00,
        2.39293453e+01,  2.50652712e+02, -1.26766001e-02, -1.23602620e-02,
        1.00000000e+00]))])"
1731606017168157954,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606017, nanosec=146053806), frame_id='camera'), detections=[apriltag_msgs.msg.AprilTagDetection(family='tag36h11', id=13, hamming=0, goodness=0.0, decision_margin=95.6044692993164, centre=apriltag_msgs.msg.Point(x=104.81143584008423, y=251.24793496412804), corners=[apriltag_msgs.msg.Point(x=77.73880004882814, y=278.7327270507813), apriltag_msgs.msg.Point(x=125.42874145507812, y=278.05712890624994), apriltag_msgs.msg.Point(x=132.0803680419922, y=223.56385803222653), apriltag_msgs.msg.Point(x=85.22728729248047, y=225.7821807861328)], homography=array([ 2.20928363e+01, -4.69898598e+00,  1.04811436e+02, -4.41419188e+00,
        2.40774580e+01,  2.51247935e+02, -1.46558824e-02, -1.10436125e-02,
        1.00000000e+00]))])"
1731606017199829454,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606017, nanosec=177053565), frame_id='camera'), detections=[apriltag_msgs.msg.AprilTagDetection(family='tag36h11', id=13, hamming=0, goodness=0.0, decision_margin=97.03026580810547, centre=apriltag_msgs.msg.Point(x=115.06044095724117, y=250.67949237806369), corners=[apriltag_msgs.msg.Point(x=88.22119140624997, y=278.073486328125), apriltag_msgs.msg.Point(x=135.5517883300781, y=277.34393310546875), apriltag_msgs.msg.Point(x=141.97686767578125, y=223.20672607421872), apriltag_msgs.msg.Point(x=95.65085601806643, y=225.42269897460935)], homography=array([ 2.17644825e+01, -4.94810768e+00,  1.15060441e+02, -4.32395642e+00,
        2.34692684e+01,  2.50679492e+02, -1.42734548e-02, -1.28377521e-02,
        1.00000000e+00]))])"
1731606017232582028,"apriltag_msgs.msg.AprilTagDetectionArray(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731606017, nanosec=210416195), frame_id='camera'), detections=[apriltag_msgs.msg.AprilTagDetection(family='tag36h11', id=13, hamming=0, goodness=0.0, decision_margin=98.808349609375, centre=apriltag_msgs.msg.Point(x=124.28599260536508, y=249.80583344679704), corners=[apriltag_msgs.msg.Point(x=97.83110046386717, y=277.03631591796875), apriltag_msgs.msg.Point(x=144.56802368164065, y=276.32937622070307), apriltag_msgs.msg.Point(x=150.9614715576172, y=222.34829711914065), apriltag_msgs.msg.Point(x=105.00981903076172, y=224.59768676757812)], homography=array([ 2.13273882e+01, -4.72132855e+00,  1.24285993e+02, -4.44172195e+00,
        2.39389606e+01,  2.49805833e+02, -1.47895407e-02, -1.06377382e-02,
        1.00000000e+00]))])"
